20220710	20:24:00	e48cd7ec-749b-4369-9ed7-961b5816bbdf	GET	undefined	/favicon.ico
20220710	20:24:33	aeefd799-6d0d-4946-bb96-72cc403bc711	GET	undefined	/favicon.ico
20220710	20:24:35	a8f05f43-1ccb-4a55-8773-1137e05985e0	GET	undefined	/favicon.ico
20220710	20:26:25	99f13152-e5ed-48dc-9145-39e213d6b4fc	GET	undefined	/employees
20220710	20:26:57	a6ead3ad-0680-4b4b-88d0-56051bb3e638	GET	undefined	/employees
20220710	20:27:34	dab44533-399b-4439-b93d-217318d337a8	GET	undefined	/employees
20220710	20:27:44	bf22e6a3-78d9-404a-aded-9fca394e5ea6	GET	undefined	/
20220710	20:27:47	2a0c9f14-7618-46ae-8011-6c7109b4967c	GET	undefined	/css/style.css
20220710	20:27:47	47613aee-87ba-4a38-83f3-178934c556ac	GET	undefined	/favicon.ico
20220710	20:27:54	e0862b09-3781-48ff-8d5f-2a31142e8cae	GET	undefined	/employees
20220710	20:27:57	7714495d-12bf-4120-9632-1fa9823b8d81	GET	undefined	/favicon.ico
20220711	12:48:48	fc918461-71ca-445d-8bc7-bb50dbb93aa3	POST	undefined	/auth
20220711	12:49:09	f4d04eaf-9ed6-4e84-a620-7036323d5785	GET	undefined	/employees
20220711	12:49:16	0d84c0e8-31da-4655-90d1-423a3d46d662	POST	undefined	/employees
20220711	12:51:25	73d5e252-6c7b-48d7-811e-8abcd0689e0d	POST	undefined	/auth
20220711	12:51:44	62578b60-2c28-49b1-b6c0-950142277831	POST	undefined	/employees
20220711	12:51:44	a159e919-8635-47f3-a5b6-2096eb608ebc	POST	undefined	/employees
20220711	12:51:45	54d2514d-c58d-49e9-b3f8-a9958ec87a3e	POST	undefined	/employees
20220711	12:52:09	50be9b47-c6c6-4460-904f-9721430ebd01	POST	undefined	/employees
20220711	12:52:57	0ffa0dc5-55b2-4139-bf3d-ee12fa5109b2	POST	undefined	/auth
20220711	12:53:15	a08feda3-cea2-4a0e-ad4a-5046ec63f4cd	POST	undefined	/employees
20220711	12:53:34	9581542a-da50-4a5a-88a6-9a075c31605b	DELETE	undefined	/employees
20220711	13:02:27	9bd9bbdf-0d99-41c1-a759-99040d43d2ea	POST	undefined	/auth
20220711	13:02:42	d5d56620-302c-409b-875d-500251e3f06c	GET	undefined	/employees
20220711	13:03:25	c8d4dd26-3a76-4b70-aa49-e98f9f26956a	POST	undefined	/auth
20220711	13:03:33	26907934-ba9a-4367-9b96-bf56f9f9a9d4	GET	undefined	/employees
20220711	13:04:45	13a9199a-b0ba-4307-ad47-0ab5b2da767c	POST	undefined	/auth
20220711	13:04:47	c9fe02c7-043a-4ead-8c0e-7f63b99e74ca	POST	undefined	/auth
20220711	13:04:49	c3bc861d-2c11-4e27-bbe3-3782490399c1	POST	undefined	/auth
20220711	13:04:50	3377b722-50fd-49ba-b352-b416b34348c3	POST	undefined	/auth
20220711	13:04:52	3ceaab72-fc08-4e18-b889-600f4976723d	POST	undefined	/auth
20220711	13:04:53	15539603-ae65-402a-a79e-e42e912f7655	POST	undefined	/auth
20220711	13:04:54	9e2f1a03-0dfe-4bd7-8690-d545cefb943e	POST	undefined	/auth
20220711	13:06:33	47c86407-8e88-42c8-947d-9a7c0c1da7f7	POST	undefined	/auth
20220711	13:06:44	323e5822-575d-465d-ac9e-dc714d9d5c3e	GET	undefined	/employees
20220711	13:08:29	848768e0-74f2-45cd-92ac-26ae07b43954	POST	undefined	/auth
20220711	13:08:45	f74a7021-8ce2-40ae-ae28-543e4c3ad478	POST	undefined	/employees
20220711	13:09:08	240c7776-5041-4546-a29d-a09d8fcc1d76	DELETE	undefined	/employees
20220711	13:09:21	d965898b-74a8-472b-814f-d0810018e619	POST	undefined	/auth
20220711	13:09:37	06aac888-64b0-48fe-ad59-95ff570e674b	DELETE	undefined	/employees
20220711	13:09:41	b83fdcd7-a4dc-4a99-b128-fc7f16ca5aa3	POST	undefined	/employees
20220711	13:09:46	7a6c142c-f65b-44c8-96b8-34b95c15ea0b	GET	undefined	/employees
20220711	13:14:55	d22f9b15-9407-45b2-9d28-5c1cff12ed6b	POST	undefined	/auth
20220711	13:15:24	9a9400a7-df0e-4ee7-8cc6-ff6aa532b975	DELETE	undefined	/employees
20220711	13:26:56	5483a6e3-6d5e-4bc3-95ee-e8be49f81228	POST	undefined	/auth
20220711	13:27:07	f4ce746f-304a-4d6b-9ef6-0a7ab95eea05	DELETE	undefined	/employees
20220711	13:28:07	e7218538-40d1-4f8e-b247-96622e5ef685	POST	undefined	/auth
20220711	13:28:19	054bee17-4fdc-4b3f-a6fc-742cf1bdbcce	POST	undefined	/employees
20220711	13:28:28	89ed2ab1-2520-4e38-9d14-f781aa2cf225	DELETE	undefined	/employees
20220711	13:31:12	388629b0-b466-4f80-82d1-e34b58549332	POST	undefined	/auth
20220711	13:31:20	b14db006-360c-4823-9c2a-577f9dc802f1	DELETE	undefined	/employees
20220711	13:31:29	b956df8d-bb94-404a-8ce4-83c7b301508e	POST	undefined	/auth
20220711	13:31:40	cc328451-31b2-45e2-a2e0-0eba5ea777fe	POST	undefined	/employees
20220711	13:31:50	c6ab91ed-de04-475b-b4f0-251669934ec0	DELETE	undefined	/employees
20220711	17:39:07	c8897145-80e1-4793-bf5a-1c6a5e800fe0	POST	undefined	/register
20220711	17:40:13	e8fb4c75-16e7-4c98-85a3-91820c0a9098	POST	undefined	/register
20220711	17:49:55	63a5a864-ef8f-416e-bad5-76353d973598	POST	undefined	/register
20220711	17:54:38	8fc4bdbd-40bd-4e46-bad8-49af6ac14a7c	POST	undefined	/register
20220712	09:48:50	9c9af5a9-a49a-43c5-abde-92d33d8f7cf4	POST	undefined	/register
20220712	09:50:37	950b51bf-cc97-4b07-8a7e-61d7a5e82d97	POST	undefined	/register
20220712	09:59:49	f129fb24-21f0-4411-a06c-04c532fdce46	POST	undefined	/register
20220712	10:10:31	5ac23971-c8ea-405a-84ce-709fb6aa1678	POST	undefined	/register
20220712	11:23:56	a7836ce3-2f02-49bc-9acb-2e3e1f2a5968	POST	undefined	/register
20220712	11:24:00	ee39df19-f044-4ab9-b63b-abc5566e200e	POST	undefined	/register
20220712	11:24:05	7ea4ca6a-bbcb-4580-bd5f-8977cd310ef2	POST	undefined	/register
20220712	11:24:32	8b49cc62-f1f2-4761-9878-e951cda486e4	POST	undefined	/auth
20220712	11:25:27	33d456ea-dc59-4671-9df7-80bddd3e3fb2	GET	undefined	/refresh
20220712	11:26:49	385dc167-10ca-44d4-80aa-85449a919804	POST	undefined	/auth
20220712	11:27:01	2bba7643-bfc9-4bfd-b53e-21df8bb0f7c6	GET	undefined	/refresh
20220712	11:28:14	38a6f1b6-0fb4-49a7-8c0a-8063745cc6c8	POST	undefined	/auth
20220712	11:28:31	05b43bb3-f47c-44fa-8098-fecc506ccc17	GET	undefined	/logout
20220712	11:28:56	ee2f960f-51f2-438e-a1ff-24ab27e6ea29	GET	undefined	/logout
20220712	11:29:55	606de0ad-94b6-458c-a7c0-657e05c05b70	POST	undefined	/auth
20220712	11:29:59	8a09c325-f91b-4712-94e8-af5a0a6b9f10	GET	undefined	/refresh
20220712	11:30:12	5309a74d-4100-4f52-b9a7-896d236a19e0	GET	undefined	/logout
20220712	13:22:19	57387ba7-4a3c-467b-a4cf-d50f30b265c8	POST	undefined	/auth
20220712	13:22:32	6319ad3a-fa7b-4e9c-a8c3-77461cec249e	GET	undefined	/employees
20220712	13:23:48	6f4daa27-082a-4b54-b928-75516a363665	POST	undefined	/auth
20220712	13:23:59	8bce999e-af34-402e-8be3-f18edebbf072	GET	undefined	/employees
20220712	13:24:12	0e83b935-475b-49e0-a84a-349a90a5fefd	POST	undefined	/employees
20220712	13:24:19	742e111b-7cbd-43d1-b116-07cbcce5798a	POST	undefined	/employees
20220712	13:27:06	017d6ee5-f044-4043-8cc0-4a3f3b2522bf	POST	undefined	/auth
20220712	13:27:25	f8d87ff9-2d94-4fc5-9023-a9a96cfd5c1c	POST	undefined	/employees
20220712	13:31:27	ea808203-b63b-47ff-9477-d7226b631a4a	POST	undefined	/auth
20220712	13:31:40	a7fead59-51a4-471f-acdd-9a5e09899346	GET	undefined	/employees
20220712	13:31:54	a5bfa6f3-79e8-40b3-962d-759ffbbfac9e	POST	undefined	/register
20220712	13:31:56	7e26e722-c8eb-4a31-9899-57607f2e4e0b	POST	undefined	/register
20220712	13:32:06	99af45ae-154a-4886-83cd-43b51bf14f87	POST	undefined	/auth
20220712	13:32:21	7543f73b-092d-4dc5-a580-399e3faa50df	POST	undefined	/employees
20220712	13:32:25	77e5ad86-f04a-4d53-a872-76c01b575421	GET	undefined	/employees
20220712	13:33:26	c9b53a12-bb55-494b-8f5a-9925ed0a4269	POST	undefined	/auth
20220712	13:37:49	18cbb8b2-c5e3-44ef-a8ec-c40121aa684f	POST	undefined	/register
20220712	13:38:43	9deb16ba-4687-4b82-9173-36841e033d9b	POST	undefined	/register
20220712	13:41:27	2796aecd-24a6-4dff-8c2d-9a7dee6c3f2d	POST	undefined	/register
20220712	13:43:41	21bb44a6-7fb5-44a4-8b80-fe0529a83bfc	POST	undefined	/register
20220712	13:44:30	de59f327-9744-4a79-8f75-c9c9a9951086	POST	undefined	/auth
20220712	13:44:42	e4a0e742-1473-4caa-9791-c7a2b20739c5	POST	undefined	/employees
